builder;method;MiB/s
dual-Xeon-E5-2670-8-channels;MEMCPY;3875.187
dual-Xeon-E5-2670-8-channels;DUMB;2151.123
dual-Xeon-E5-2670-8-channels;MCBLOCK;5709.891
dual-Xeon-E5-2698-v4-4-channels-tmpfs;MEMCPY;420.803
dual-Xeon-E5-2698-v4-4-channels-tmpfs;DUMB;361.452
dual-Xeon-E5-2698-v4-4-channels-tmpfs;MCBLOCK;3581.945
dual-Xeon-E5-2699-v3-8-channels-tmpfs;MEMCPY;2592.939
dual-Xeon-E5-2699-v3-8-channels-tmpfs;DUMB;5437.229
dual-Xeon-E5-2699-v3-8-channels-tmpfs;MCBLOCK;4161.497
dual-Xeon-Gold-6258R;MEMCPY;5813.269
dual-Xeon-Gold-6258R;DUMB;4903.372
dual-Xeon-Gold-6258R;MCBLOCK;6970.951
threadripper-3970x-128gb-mbw-2666-2-channels;MEMCPY;6526.467
threadripper-3970x-128gb-mbw-2666-2-channels;DUMB;11527.579
threadripper-3970x-128gb-mbw-2666-2-channels;MCBLOCK;7941.432
threadripper-3970x-128gb-mbw-2666;MEMCPY;10065.151
threadripper-3970x-128gb-mbw-2666;DUMB;16151.534
threadripper-3970x-128gb-mbw-2666;MCBLOCK;12874.890
threadripper-3970x-128gb-mbw-3200;MEMCPY;11691.667
threadripper-3970x-128gb-mbw-3200;DUMB;18496.687
threadripper-3970x-128gb-mbw-3200;MCBLOCK;14861.955
VM-20t-157G/mbw;MEMCPY;3531.415
VM-20t-157G/mbw;DUMB;2008.844
VM-20t-157G/mbw;MCBLOCK;2233.423
ryzen-5-1600AF/mbw-swap-off;MEMCPY;7489.258
ryzen-5-1600AF/mbw-swap-off;DUMB;15901.987
ryzen-5-1600AF/mbw-swap-off;MCBLOCK;10241.803
ryzen-5-1600AF/mbw-swap-on-nvme;MEMCPY;217.074
ryzen-5-1600AF/mbw-swap-on-nvme;DUMB;238.068
ryzen-5-1600AF/mbw-swap-on-nvme;MCBLOCK;8947.648
ryzen-5-1600AF/mbw-swap-on-rust;MEMCPY;49.090
ryzen-5-1600AF/mbw-swap-on-rust;DUMB;49.538
ryzen-5-1600AF/mbw-swap-on-rust;MCBLOCK;9427.107
